Date,Country,TotalCase,DailyNewCase,TotalDeath,DailyNewDeath
2020-03-22,China,81093,39,3270,9
2020-03-23,China,81171,78,3277,7
2020-03-24,China,81218,47,3281,4
2020-03-25,China,81285,67,3287,6
2020-03-26,China,81340,55,3292,5
2020-03-27,China,81394,54,3295,3
2020-03-28,China,81439,45,3300,5
2020-03-29,China,81439,0,3300,0
2020-03-30,China,81518,79,3305,5
2020-03-31,China,81554,36,3312,7
2020-04-01,China,81589,35,3318,6
2020-04-02,China,81620,31,3322,4
2020-04-03,China,81639,19,3326,4
2020-04-04,China,81669,30,3329,3
2020-04-05,China,81708,39,3331,2
2020-04-06,China,81740,32,3331,0
2020-04-07,China,81802,62,3333,2
2020-04-08,China,81865,63,3335,2
2020-04-09,China,81907,42,3336,1
2020-04-10,China,81953,46,3339,3
2020-04-11,China,82052,99,3339,0
2020-04-12,China,82160,108,3341,2
2020-04-13,China,82249,89,3341,0
2020-04-14,China,82295,46,3342,1
2020-04-15,China,82341,46,3342,0
2020-04-16,China,82367,26,3342,0
2020-04-17,China,82692,325,4632,1290
2020-04-18,China,82719,27,4632,0
